strength,length,lowers,uppers,digits,specials,entropy,continous,words
1,8,4,0,4,0,12.013095238095238,0,0
1,8,4,0,4,0,12.013095238095238,0,1
1,9,7,0,2,0,9.48531746031746,0,0
1,8,5,0,3,0,10.413095238095238,1,0
1,11,10,0,1,0,9.798304473304473,1,0
2,16,5,9,2,0,22.56893523143523,0,0
1,8,6,0,2,0,7.782142857142856,0,0
1,8,1,0,7,0,15.846428571428572,0,1
1,12,8,0,4,0,16.126082251082252,0,1
1,8,2,0,6,0,14.846428571428572,0,1
1,8,6,0,2,0,8.448809523809523,0,0
1,12,3,0,9,0,21.238852813852816,0,0
1,10,7,0,3,0,12.398809523809526,0,0
2,16,3,10,3,0,25.341716616716617,0,0
1,12,9,0,3,0,14.348304473304474,0,0
1,10,1,0,9,0,21.21309523809524,1,1
1,11,3,0,8,0,18.54440836940837,0,0
1,8,5,0,3,0,10.413095238095238,0,0
1,9,2,0,7,0,14.98531746031746,0,0
1,9,3,0,6,0,16.179761904761904,0,0
2,19,15,0,2,2,24.406742135573403,0,0
0,6,5,0,1,0,5.216666666666667,0,0
2,16,13,1,1,1,17.92343767343767,0,0
1,11,9,0,2,0,11.598304473304474,0,0
1,11,8,0,3,0,13.376082251082252,1,0
1,11,1,0,10,0,22.12218614718615,0,1
1,9,7,0,2,0,9.698809523809524,0,0
1,12,11,0,1,0,10.730122655122656,0,0
1,9,8,0,1,0,7.948809523809524,0,0
1,11,10,0,1,0,9.798304473304473,0,0
1,11,8,0,3,0,12.805519480519479,0,0
1,8,5,0,3,0,9.99642857142857,0,0
1,9,6,0,3,0,11.413095238095238,1,0
0,7,6,0,1,0,6.121428571428572,0,0
1,10,6,0,4,0,14.113095238095237,0,0
1,8,7,0,1,0,6.882142857142856,0,0
1,8,6,0,2,0,8.746428571428572,0,0
1,9,6,0,3,0,11.413095238095238,0,0
2,16,10,5,1,0,18.493838106338107,0,0
0,6,5,0,0,1,6.050000000000001,0,0
2,15,3,8,4,0,24.53302253302253,0,0
0,6,5,0,0,1,5.55,0,0
1,9,5,0,4,0,13.079761904761904,0,0
1,8,4,0,4,0,11.46547619047619,0,0
1,10,8,0,2,0,10.648809523809526,0,0
2,16,5,7,4,0,25.14221056721057,0,0
0,6,2,0,4,0,9.15,0,0
2,21,7,1,8,5,46.52380336381884,0,0
0,7,5,0,2,0,7.721428571428571,0,0
0,7,5,0,2,0,7.788095238095238,0,0
2,14,11,1,1,1,15.380305805305806,0,0
1,8,6,0,2,0,8.329761904761904,0,0
1,10,8,0,2,0,10.648809523809526,0,1
1,8,7,0,1,0,7.0321428571428575,0,0
0,6,4,0,2,0,6.816666666666666,0,0
1,10,9,0,1,0,8.871031746031747,0,0
1,12,10,0,2,0,12.548304473304473,0,0
2,16,8,5,3,0,21.62978687978688,0,0
1,9,3,0,6,0,13.271031746031747,0,0
0,7,6,0,1,0,5.407142857142857,0,0
1,10,6,0,4,0,13.085317460317459,0,0
0,6,4,0,2,0,6.816666666666666,0,1
0,6,1,0,5,0,10.65,0,1
1,11,0,0,10,1,24.849458874458875,0,0
1,8,6,0,2,0,7.0321428571428575,0,0
1,10,1,0,9,0,19.413095238095238,1,1
1,12,7,0,5,0,14.330122655122656,1,0
1,8,2,0,6,0,12.382142857142858,0,0
1,10,4,0,6,0,14.171031746031748,0,0
2,16,9,4,3,0,21.3141983016983,0,0
1,12,6,0,6,0,18.446789321789318,0,0
1,12,8,0,4,0,16.126082251082252,0,0
1,9,5,0,4,0,12.163095238095236,0,0
0,7,6,0,1,0,6.007142857142856,0,0
1,8,3,0,5,0,13.346428571428572,0,0
0,7,5,0,2,0,7.507142857142856,0,0
2,14,8,3,3,0,15.723004773004774,0,0
2,14,6,2,6,0,23.38936063936064,0,0
2,16,7,6,3,0,22.567805805305806,0,0
1,10,4,0,6,0,17.379761904761903,0,0
1,11,5,0,6,0,18.50703463203463,2,0
1,9,7,0,2,0,7.948809523809524,0,1
0,6,5,0,1,0,4.883333333333333,0,0
0,6,3,0,3,0,8.316666666666666,0,1
0,7,5,0,2,0,6.121428571428572,0,0
1,8,6,0,2,0,8.632142857142856,0,0
1,10,7,0,3,0,9.404365079365078,1,0
1,10,5,0,5,0,12.504365079365082,0,0
1,10,4,0,6,0,17.379761904761903,0,1
2,14,10,1,3,0,14.261258186258184,0,0
1,8,5,0,3,0,10.413095238095238,0,1
0,7,5,0,2,0,7.007142857142856,0,0
2,16,5,8,3,0,24.338318625818626,0,0
0,7,6,0,1,0,5.407142857142857,0,1
2,16,5,6,5,0,24.063282550782546,0,0
1,8,6,0,2,0,6.782142857142857,0,0
1,11,3,0,8,0,21.60703463203463,0,0
1,11,7,0,4,0,11.813455988455988,0,0
1,10,6,0,4,0,11.954365079365079,0,0
2,16,2,13,1,0,24.369133644133644,0,0
0,7,5,0,2,0,6.007142857142856,0,0
1,9,1,0,8,0,16.73531746031746,0,1
0,7,5,0,2,0,7.788095238095238,0,1
1,9,3,0,6,0,13.74642857142857,2,1
1,11,1,0,10,0,23.940367965367965,0,1
1,10,6,0,4,0,10.90436507936508,0,1
2,14,12,0,1,1,13.998437673437673,0,0
1,9,3,0,6,0,16.179761904761904,0,1
1,13,3,0,10,0,27.1262654012654,0,0
0,6,5,0,1,0,3.5500000000000003,0,0
1,8,3,0,5,0,13.513095238095238,0,0
